trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
439,False,"{'a': 0.45, 'e': 0.09321442268350875}",25,11,22.613914414409013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.45, 'e': 0.09256420015863442}",30,14,-20.7241639191485,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
441,False,"{'a': 0.45, 'e': 0.09191851329808841}",20,9,-24.735372386710324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
442,False,"{'a': 0.45, 'e': 0.0912773304630854}",20,0,32.40217870953657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
443,False,"{'a': 0.45, 'e': 0.09064062023553822}",20,13,13.376617159248685,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.45, 'e': 0.09000835141651825}",20,0,15.439547114202416,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
445,False,"{'a': 0.45, 'e': 0.08938049302472688}",20,0,-15.13662827797873,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
446,False,"{'a': 0.45, 'e': 0.0887570142949773}",20,16,8.802987168447057,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.45, 'e': 0.08813788467668705}",25,12,16.2031962442155,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.45, 'e': 0.08752307383238087}",20,0,15.40880186145916,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
449,False,"{'a': 0.45, 'e': 0.08691255163620441}",30,8,28.90965354368833,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,False,"{'a': 0.45, 'e': 0.08630628817244791}",20,12,14.37546992531605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.45, 'e': 0.08570425373408037}",25,2,23.74061319368486,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
452,False,"{'a': 0.45, 'e': 0.08510641882129379}",25,18,6.467210026375607,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.45, 'e': 0.08451275414005785}",20,14,9.008980160500679,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.45, 'e': 0.08392323060068439}",25,13,22.295118889061264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.45, 'e': 0.08333781931640208}",20,13,12.372377563606324,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.45, 'e': 0.08275649160194076}",25,11,25.272440865197364,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.45, 'e': 0.08217921897212616}",30,13,34.35541068266043,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.45, 'e': 0.08160597314048391}",30,20,21.381945479296977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.45, 'e': 0.08103672601785361}",30,19,-33.60907036688213,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
460,False,"{'a': 0.45, 'e': 0.08047144971101228}",20,0,34.23512621163972,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
461,False,"{'a': 0.45, 'e': 0.07991011652130779}",25,8,8.55626977075579,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
462,False,"{'a': 0.45, 'e': 0.0793526989433016}",20,9,8.591416435806003,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
463,False,"{'a': 0.45, 'e': 0.07879916966342078}",20,12,12.602332688631568,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.45, 'e': 0.0782495015586199}",20,15,9.810140859795222,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.45, 'e': 0.07770366769505183}",20,10,20.26821816931964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.45, 'e': 0.07716164132674808}",20,11,10.258498592610144,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.45, 'e': 0.0766233958943081}",20,14,12.207927632921521,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.45, 'e': 0.07608890502359802}",20,0,25.02634865041768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
469,False,"{'a': 0.45, 'e': 0.07555814252445825}",25,12,13.122897502725012,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
470,False,"{'a': 0.45, 'e': 0.07503108238942016}",20,10,17.21778831358104,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.45, 'e': 0.07450769879243162}",25,9,30.939608045489532,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.45, 'e': 0.07398796608759167}",20,12,-29.943793913941175,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
473,False,"{'a': 0.45, 'e': 0.0734718588078938}",25,19,10.460453416008766,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.45, 'e': 0.07295935166397807}",20,12,13.295100117836263,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.45, 'e': 0.07245041954289182}",20,0,13.62494494893679,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
476,False,"{'a': 0.45, 'e': 0.07194503750685931}",20,0,28.56207719606806,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
477,False,"{'a': 0.45, 'e': 0.07144318079205969}",20,6,30.599887896998933,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.45, 'e': 0.07094482480741346}",25,11,25.78809741164597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.45, 'e': 0.07044994513337771}",20,2,27.286765448031172,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.45, 'e': 0.06995851752074937}",25,17,13.93163978479175,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.45, 'e': 0.06947051788947713}",25,15,19.19588100687868,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.45, 'e': 0.06898592232748137}",25,15,18.060393442716336,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.45, 'e': 0.0685047070894826}",20,15,6.663776840583232,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.45, 'e': 0.0680268485958379}",25,19,12.788565564502221,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.45, 'e': 0.06755232343138547}",20,10,19.03461774126834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.45, 'e': 0.06708110834429727}",20,12,12.112852825075953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.45, 'e': 0.06661318024493978}",25,17,16.175209700393438,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
