trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.4, 'e': 1.0349999999999937}",20,0,-102.32440111846596,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
111,False,"{'a': 0.4, 'e': 1.0334999999999936}",20,0,-156.3967377191792,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
112,False,"{'a': 0.4, 'e': 1.0319999999999936}",25,0,-94.97411467477943,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
113,False,"{'a': 0.4, 'e': 1.0304999999999935}",25,0,-98.04965361766817,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
114,False,"{'a': 0.4, 'e': 1.0289999999999935}",20,0,-39.41919249800344,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.4, 'e': 1.0274999999999934}",25,0,-71.43245540501859,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.4, 'e': 1.0259999999999934}",20,0,-116.76870711869432,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
117,False,"{'a': 0.4, 'e': 1.0244999999999933}",25,0,-228.70887238841823,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
118,False,"{'a': 0.4, 'e': 1.0229999999999932}",25,0,-91.77607167872645,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
119,False,"{'a': 0.4, 'e': 1.0214999999999932}",20,0,-113.30037282927599,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.4, 'e': 1.0199999999999931}",25,10,-28.387120926489953,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 1.018499999999993}",20,0,-103.97539175676889,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
122,False,"{'a': 0.4, 'e': 1.016999999999993}",20,0,-155.50098928817553,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
123,False,"{'a': 0.4, 'e': 1.015499999999993}",25,0,-44.6912870928776,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
124,False,"{'a': 0.4, 'e': 1.013999999999993}",30,0,-183.35708889279374,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
125,False,"{'a': 0.4, 'e': 1.0124999999999929}",30,0,-366.40855554770576,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 7}",0
126,False,"{'a': 0.4, 'e': 1.0109999999999928}",20,0,-103.6508797693434,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
127,False,"{'a': 0.4, 'e': 1.0094999999999927}",30,0,-145.70353523824545,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
128,False,"{'a': 0.4, 'e': 1.0079999999999927}",35,12,-63.78565468912253,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 1}",1
129,False,"{'a': 0.4, 'e': 1.0064999999999926}",25,0,-142.89969799283816,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
130,False,"{'a': 0.4, 'e': 1.0049999999999926}",25,0,-65.14810802431579,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
131,False,"{'a': 0.4, 'e': 1.0034999999999925}",30,0,-25.55291439696667,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
132,False,"{'a': 0.4, 'e': 1.0019999999999925}",25,0,-73.86317600879723,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
133,False,"{'a': 0.4, 'e': 1.0004999999999924}",25,0,-212.66187669056274,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
134,False,"{'a': 0.4, 'e': 0.9989999999999924}",25,0,-275.8973655968197,"{0: 7, 1: 6, 2: 7, 3: 1, 4: 4}",0
135,False,"{'a': 0.4, 'e': 0.9974999999999925}",25,0,-119.11731395045754,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
136,False,"{'a': 0.4, 'e': 0.9959999999999926}",20,0,-132.67754475446128,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
137,False,"{'a': 0.4, 'e': 0.9944999999999926}",25,11,-89.23023297059157,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 1}",1
138,False,"{'a': 0.4, 'e': 0.9929999999999927}",20,0,-107.95825942158376,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
